player,team,slot,injury,pos_row,depth
Josh Allen,BUF,QB1,1,QB,1
Kyle Allen,BUF,QB2,1,QB,2
Shane Buechele,BUF,QB3,1,QB,3
James Cook III,BUF,RB1,1,RB,1
Ray Davis,BUF,RB2,1,RB,2
Ty Johnson,BUF,RB3,1,RB,3
Frank Gore,BUF,RB4,1,RB,4
DJ Moore,BUF,WR1,1,WR1,1
Keon Coleman,BUF,WR4+,1,WR1,2
Tyrell Shavers,BUF,WR4+,1,WR1,3
Stephen Gosnell,BUF,WR4+,1,WR1,4
Khalil Shakir,BUF,WR2,1,WR2,1
Skyler Bell,BUF,WR4+,1,WR2,2
Trent Sherfield,BUF,WR4+,1,WR2,3
Mac Dalena,BUF,WR4+,1,WR2,4
Joshua Palmer,BUF,WR3,1,WR3,1
Mecole Hardman Jr.,BUF,WR4+,1,WR3,2
Jalen Virgil,BUF,WR4+,1,WR3,3
Max Tomczak,BUF,WR4+,1,WR3,4
Dalton Kincaid,BUF,TE1,1,TE,1
Dawson Knox,BUF,TE2,1,TE,2
Jackson Hawes,BUF,TE3,1,TE,3
Shane Zylstra,BUF,TE4,1,TE,4
Ben VanSumeren,BUF,FB1,0,FB,1
Jackson Acker,BUF,FB2,1,FB,2
Malik Willis,MIA,QB1,1,QB,1
Quinn Ewers,MIA,QB2,1,QB,2
Cam Miller,MIA,QB3,1,QB,3
Mark Gronowski,MIA,QB4,1,QB,4
De'Von Achane,MIA,RB1,0,RB,1
Jaylen Wright,MIA,RB2,1,RB,2
Ollie Gordon II,MIA,RB3,1,RB,3
Donovan Edwards,MIA,RB4,1,RB,4
Malik Washington,MIA,WR1,1,WR1,1
Caleb Douglas,MIA,WR4+,0,WR1,2
Theo Wease Jr.,MIA,WR4+,1,WR1,3
Terrace Marshall Jr.,MIA,WR4+,1,WR1,4
Jalen Tolbert,MIA,WR2,1,WR2,1
Chris Bell,MIA,WR4+,0,WR2,2
Tahj Washington,MIA,WR4+,1,WR2,3
AJ Henning,MIA,WR4+,1,WR2,4
Tutu Atwell,MIA,WR3,1,WR3,1
Kevin Coleman Jr.,MIA,WR4+,1,WR3,2
Jalen Reagor,MIA,WR4+,1,WR3,3
Donaven McCulley,MIA,WR4+,1,WR3,4
Greg Dulcich,MIA,TE1,1,TE,1
Will Kacmarek,MIA,TE2,1,TE,2
Seydou Traore,MIA,TE3,1,TE,3
Ben Sims,MIA,TE4,1,TE,4
Drake Maye,NE,QB1,1,QB,1
Tommy DeVito,NE,QB2,1,QB,2
Behren Morton,NE,QB3,1,QB,3
Rhamondre Stevenson,NE,RB1,1,RB,1
TreVeyon Henderson,NE,RB2,1,RB,2
Terrell Jennings,NE,RB3,1,RB,3
Lan Larison,NE,RB4,1,RB,4
A.J. Brown,NE,WR1,1,WR1,1
Mack Hollins,NE,WR4+,1,WR1,2
Efton Chism III,NE,WR4+,1,WR1,3
Cameron Dorner,NE,WR4+,1,WR1,4
Romeo Doubs,NE,WR2,1,WR2,1
DeMario Douglas,NE,WR4+,1,WR2,2
Kyle Dixon,NE,WR4+,1,WR2,3
Nick DeGennaro,NE,WR4+,1,WR2,4
Kayshon Boutte,NE,WR3,1,WR3,1
Kyle Williams,NE,WR4+,1,WR3,2
Jeremiah Webb,NE,WR4+,1,WR3,3
Jimmy Kibble,NE,WR4+,1,WR3,4
Hunter Henry,NE,TE1,1,TE,1
Eli Raridon,NE,TE2,1,TE,2
CJ Dippre,NE,TE3,1,TE,3
Tanner Arkin,NE,TE4,1,TE,4
Reggie Gilliam,NE,FB1,1,FB,1
Jack Westover,NE,FB2,1,FB,2
Brock Lampe,NE,FB3,1,FB,3
Geno Smith,NYJ,QB1,1,QB,1
Cade Klubnik,NYJ,QB2,0,QB,2
Brady Cook,NYJ,QB3,1,QB,3
Bailey Zappe,NYJ,QB4,1,QB,4
Breece Hall,NYJ,RB1,1,RB,1
Braelon Allen,NYJ,RB2,1,RB,2
Isaiah Davis,NYJ,RB3,1,RB,3
Kene Nwangwu,NYJ,RB4,1,RB,4
Garrett Wilson,NYJ,WR1,1,WR1,1
Tim Patrick,NYJ,WR4+,1,WR1,2
Jamaal Pritchett,NYJ,WR4+,1,WR1,3
Caullin Lacy,NYJ,WR4+,1,WR1,4
Adonai Mitchell,NYJ,WR2,1,WR2,1
Isaiah Williams,NYJ,WR4+,1,WR2,2
Gee Scott Jr.,NYJ,WR4+,1,WR2,3
DT Sheffield,NYJ,WR4+,1,WR2,4
Omar Cooper Jr.,NYJ,WR3,1,WR3,1
Arian Smith,NYJ,WR4+,1,WR3,2
Jalen Walthall,NYJ,WR4+,1,WR3,3
Malik McClain,NYJ,WR4+,1,WR3,4
Kenyon Sadiq,NYJ,TE1,0,TE,1
Mason Taylor,NYJ,TE2,1,TE,2
Jeremy Ruckert,NYJ,TE3,1,TE,3
Jelani Woods,NYJ,TE4,1,TE,4
Andrew Beck,NYJ,FB1,1,FB,1
Lamar Jackson,BAL,QB1,1,QB,1
Tyler Huntley,BAL,QB2,1,QB,2
Joe Fagnano,BAL,QB3,1,QB,3
Diego Pavia,BAL,QB4,1,QB,4
Derrick Henry,BAL,RB1,1,RB,1
Justice Hill,BAL,RB2,1,RB,2
Rasheen Ali,BAL,RB3,1,RB,3
Adam Randall,BAL,RB4,1,RB,4
Zay Flowers,BAL,WR1,1,WR1,1
Ja'Kobi Lane,BAL,WR4+,1,WR1,2
Dayton Wade,BAL,WR4+,1,WR1,3
Cortez Braham Jr.,BAL,WR4+,1,WR1,4
Rashod Bateman,BAL,WR2,1,WR2,1
Elijah Sarratt,BAL,WR4+,1,WR2,2
Cornelius Johnson,BAL,WR4+,1,WR2,3
Octavian Smith Jr.,BAL,WR4+,1,WR2,4
