season,week,team,opponent,dst_tds
2024,1,ARI,BUF,1
2024,1,CHI,TEN,2
2024,1,MIN,NYG,1
2024,1,DAL,CLE,1
2024,2,BUF,MIA,1
2024,2,KC,CIN,1
2024,3,GB,TEN,1
2024,4,ATL,NO,1
2024,4,PHI,TB,1
2024,4,SF,NE,1
2024,4,CLE,LV,1
2024,5,MIN,NYJ,1
2024,5,DEN,LV,1
2024,5,LAR,GB,1
2024,5,SEA,NYG,1
2024,6,SEA,SF,1
2024,6,TB,NO,1
2024,6,NO,TB,1
2024,7,DEN,NO,1
2024,7,JAX,NE,1
2024,7,MIN,DET,1
2024,7,SEA,ATL,1
2024,7,CIN,CLE,1
2024,7,WAS,CAR,1
2024,7,LAR,LV,1
2024,8,DET,TEN,1
2024,8,PIT,NYG,1
2024,9,LV,CIN,1
2024,9,JAX,PHI,1
2024,9,DET,GB,1
2024,9,LAR,SEA,1
2024,9,IND,MIN,1
2024,10,BUF,IND,1
2024,11,HOU,DAL,1
2024,12,DAL,WAS,2
2024,12,NE,MIA,1
2024,12,HOU,TEN,1
2024,12,SEA,ARI,1
2024,13,DAL,NYG,1
2024,13,LAC,ATL,1
2024,13,CIN,PIT,1
2024,13,PIT,CIN,1
2024,13,NYJ,SEA,1
2024,13,SEA,NYJ,1
2024,13,DEN,CLE,2
2024,14,LAR,BUF,1
2024,15,DEN,IND,1
2024,15,CIN,TEN,1
2024,16,BAL,PIT,1
2024,16,ATL,NYG,2
2024,17,NYG,IND,1
2024,17,PHI,DAL,1
2024,17,TB,CAR,1
2024,18,BAL,CLE,1
2024,18,CHI,GB,1
2024,18,HOU,TEN,1
