defense,seasons_blended,QB PY avg,P TD avg,QB RY avg,RB1 RY avg,RB2+ RY avg,WR RY avg,RB1 Recep avg,RB1 RecY avg,RB2 Recep avg,RB2 RecY avg,WR1 Recep avg,WR1 RecY avg,WR2 Recep avg,WR2 RecY avg,WR3 Recep avg,WR3 RecY avg,WR4+ Recep avg,WR4+ RecY avg,TE1 Recep avg,TE1 RecY avg,TE2 Recep avg,TE2 RecY avg,QB TD avg,RB1 TD avg,RB2 TD avg,WR1 TD avg,WR2 TD avg,WR3 TD avg,WR4+ TD avg,TE1 TD avg,TE2 TD avg,D/ST TD avg,QB P+R avg,RB R+R avg,QB PY rank,P TD rank,QB RY rank,RB1 RY rank,RB2+ RY rank,WR RY rank,RB1 Recep rank,RB1 RecY rank,RB2 Recep rank,RB2 RecY rank,WR1 Recep rank,WR1 RecY rank,WR2 Recep rank,WR2 RecY rank,WR3 Recep rank,WR3 RecY rank,WR4+ Recep rank,WR4+ RecY rank,TE1 Recep rank,TE1 RecY rank,TE2 Recep rank,TE2 RecY rank,QB TD rank,RB1 TD rank,RB2 TD rank,WR1 TD rank,WR2 TD rank,WR3 TD rank,WR4+ TD rank,TE1 TD rank,TE2 TD rank,D/ST TD rank,QB P+R rank,RB R+R rank,QB *,RB1 *,RB2 *,WR1 *,WR2 *,WR3 *,WR4+ *,TE1 *,TE2 *,D/ST *
ARI,2024+2025,237.0,1.5,13.94,67.88,41.59,3.12,3.32,26.18,1.24,10.74,5.5,69.91,3.5,38.26,1.5,17.61,1.36,18.85,3.68,37.17,1.82,18.26,0.24,0.7,0.41,0.47,0.21,0.12,0.06,0.3,0.09,0.15,250.94,146.38,10.0,16.5,31.0,9.0,1.0,20.0,1.0,3.0,30.0,28.0,3.0,6.0,10.0,22.0,31.0,30.0,11.5,5.0,15.0,18.0,6.0,4.0,11.5,9.0,4.5,11.5,25.0,25.5,25.0,9.0,20.5,9.0,13.0,3.0,16.4,5.0,13.3,6.83,19.0,28.83,13.83,14.0,10.17,9.0
ATL,2024+2025,227.06,1.8,24.7,65.3,27.06,4.77,3.12,21.36,1.74,11.18,5.32,67.7,3.8,43.89,1.76,21.8,1.5,14.47,3.24,33.09,1.14,15.26,0.18,0.5,0.24,0.53,0.41,0.18,0.12,0.18,0.15,0.15,251.76,124.88,15.0,2.0,3.0,16.0,24.0,11.0,3.0,9.0,15.0,25.5,7.0,9.5,3.0,11.0,25.0,24.0,5.5,13.0,27.0,26.0,28.0,12.0,19.5,23.5,22.5,6.0,2.5,13.0,9.0,27.5,12.0,9.0,12.0,17.0,10.3,13.7,20.8,7.5,5.5,20.67,9.17,26.83,17.33,9.0
BAL,2024+2025,260.86,1.44,15.92,40.86,32.2,4.09,2.92,25.47,2.33,18.12,5.92,86.0,3.21,38.03,2.12,25.06,1.64,16.71,3.41,35.92,1.76,15.76,0.26,0.38,0.41,0.41,0.32,0.18,0.09,0.18,0.12,0.03,276.76,116.64,1.0,20.5,24.0,32.0,11.0,15.0,5.0,4.0,3.0,2.0,1.0,1.0,17.0,23.0,12.5,15.0,3.5,9.0,21.0,21.0,7.0,10.0,8.5,28.0,4.5,17.0,13.5,13.0,16.5,27.5,15.5,29.0,3.0,27.0,11.4,19.2,9.5,6.33,17.83,13.5,9.67,23.17,10.83,29.0
BUF,2024+2025,205.71,1.38,18.56,72.76,29.03,5.38,2.88,20.32,1.79,14.24,4.94,65.94,3.47,41.97,1.74,14.18,0.91,10.2,2.68,25.94,1.38,12.92,0.18,0.74,0.36,0.32,0.38,0.12,0.09,0.21,0.09,0.06,224.26,136.36,31.0,24.0,18.0,5.0,21.0,6.0,7.0,13.0,13.0,8.0,14.5,12.0,11.0,12.0,28.0,31.0,27.0,29.0,32.0,32.0,23.0,20.0,19.5,6.5,7.5,26.5,5.0,25.5,16.5,20.0,20.5,24.5,31.0,8.0,24.7,7.9,11.5,17.67,9.33,28.17,24.17,28.0,21.17,24.5
CAR,2024+2025,225.56,1.62,18.82,87.91,39.7,2.88,2.56,18.92,1.82,13.24,5.41,75.82,3.03,31.12,1.76,20.38,0.88,9.97,3.26,39.06,1.74,17.97,0.24,0.65,0.5,0.55,0.32,0.06,0.03,0.3,0.26,0.12,244.38,159.76,17.0,7.5,17.0,1.0,2.0,22.5,16.0,15.0,12.0,13.5,5.0,3.0,27.5,31.0,25.0,27.0,29.0,30.0,25.0,14.0,9.0,6.0,11.5,14.5,2.0,4.0,13.5,31.0,30.5,10.5,1.0,13.5,16.0,1.0,13.8,9.5,6.1,4.0,24.0,27.67,29.83,16.5,5.33,13.5
CHI,2024+2025,236.06,1.44,18.06,72.71,39.33,5.12,2.33,16.2,1.76,13.7,4.73,60.65,3.32,55.03,1.18,13.97,1.36,21.0,3.91,40.85,1.41,14.65,0.18,0.68,0.26,0.53,0.26,0.18,0.06,0.24,0.09,0.03,254.12,141.94,11.0,20.5,19.0,6.0,3.0,9.0,25.5,26.0,14.0,11.0,23.0,19.0,15.0,1.0,32.0,32.0,11.5,1.0,12.0,10.0,21.0,14.0,22.5,11.0,16.0,6.0,19.5,13.0,25.0,16.0,20.5,29.0,10.0,5.0,16.6,14.7,9.8,16.0,11.83,25.67,12.5,12.67,18.5,29.0
CIN,2024+2025,240.65,1.76,24.97,75.03,29.68,6.0,2.44,18.06,2.14,18.97,4.12,57.8,2.38,30.67,2.03,22.03,1.33,17.5,4.36,46.56,2.33,28.67,0.21,0.65,0.44,0.35,0.21,0.15,0.2,0.53,0.24,0.36,265.62,141.74,8.0,3.0,2.0,4.0,20.0,2.0,22.0,19.0,5.0,1.0,32.0,23.0,32.0,32.0,17.0,23.0,14.0,8.0,3.5,2.0,1.0,1.0,14.0,14.5,3.0,21.0,25.0,18.5,2.0,1.0,3.5,1.0,8.0,6.0,7.0,13.1,7.0,25.33,29.67,19.5,8.0,2.17,1.83,1.0
CLE,2024+2025,207.3,1.47,18.98,61.94,29.79,5.59,2.08,14.56,1.56,11.7,4.18,57.45,3.03,40.2,1.67,21.21,0.85,13.06,2.74,26.3,2.24,24.29,0.06,0.76,0.12,0.47,0.36,0.18,0.18,0.21,0.24,0.26,226.26,118.0,30.0,19.0,16.0,19.0,19.0,5.0,28.0,30.0,23.5,22.0,31.0,24.0,27.5,17.0,29.0,26.0,31.0,18.0,31.0,30.0,2.0,2.0,30.5,4.0,32.0,11.5,7.5,13.0,3.5,20.0,3.5,3.5,30.0,26.0,25.1,21.4,24.5,22.17,17.33,22.67,17.5,27.0,2.5,3.5
DAL,2024+2025,251.94,1.86,27.97,63.36,31.8,7.64,2.91,28.59,1.74,12.7,4.7,61.26,3.82,53.64,2.35,32.65,1.38,16.39,3.44,35.52,1.12,11.18,0.53,0.74,0.38,0.59,0.32,0.26,0.12,0.32,0.03,0.06,279.91,136.44,5.0,1.0,1.0,18.0,14.0,1.0,6.0,1.0,16.5,18.0,25.0,18.0,1.0,2.0,6.0,4.0,9.0,11.0,19.0,22.0,29.5,27.0,1.0,6.5,6.0,2.0,13.5,3.0,9.0,7.5,30.5,24.5,1.0,7.0,1.8,7.7,12.3,15.0,5.5,4.33,9.67,16.17,29.0,24.5
DEN,2024+2025,226.0,1.18,17.82,53.12,21.85,1.18,2.35,18.47,1.56,11.18,4.8,56.86,3.7,41.09,2.47,31.5,1.15,14.59,4.06,39.3,1.53,14.06,0.18,0.53,0.26,0.18,0.12,0.12,0.09,0.26,0.06,0.0,243.82,104.62,16.0,29.0,21.0,30.0,30.0,31.0,24.0,17.5,22.0,25.5,22.0,26.0,7.0,14.0,4.5,5.0,17.0,12.0,8.0,12.0,17.0,17.0,19.5,20.0,16.0,32.0,32.0,25.5,16.5,13.0,26.5,32.0,17.0,31.0,20.5,24.5,24.9,26.67,17.67,11.67,15.17,11.0,20.17,32.0
