season,defense,QB PY avg,P TD avg,QB RY avg,RB1 RY avg,RB2+ RY avg,WR RY avg,RB1 Recep avg,RB1 RecY avg,RB2 Recep avg,RB2 RecY avg,WR1 Recep avg,WR1 RecY avg,WR2 Recep avg,WR2 RecY avg,WR3 Recep avg,WR3 RecY avg,WR4+ Recep avg,WR4+ RecY avg,TE1 Recep avg,TE1 RecY avg,TE2 Recep avg,TE2 RecY avg,QB TD avg,RB1 TD avg,RB2 TD avg,WR1 TD avg,WR2 TD avg,WR3 TD avg,WR4+ TD avg,TE1 TD avg,TE2 TD avg,D/ST TD avg,QB P+R avg,RB R+R avg,QB PY rank,P TD rank,QB RY rank,RB1 RY rank,RB2+ RY rank,WR RY rank,RB1 Recep rank,RB1 RecY rank,RB2 Recep rank,RB2 RecY rank,WR1 Recep rank,WR1 RecY rank,WR2 Recep rank,WR2 RecY rank,WR3 Recep rank,WR3 RecY rank,WR4+ Recep rank,WR4+ RecY rank,TE1 Recep rank,TE1 RecY rank,TE2 Recep rank,TE2 RecY rank,QB TD rank,RB1 TD rank,RB2 TD rank,WR1 TD rank,WR2 TD rank,WR3 TD rank,WR4+ TD rank,TE1 TD rank,TE2 TD rank,D/ST TD rank,QB P+R rank,RB R+R rank,QB *,RB1 *,RB2 *,WR1 *,WR2 *,WR3 *,WR4+ *,TE1 *,TE2 *,D/ST *
2026,ARI,222.0,2.0,14.5,47.5,57.0,2.0,0.5,4.0,0.5,1.0,7.0,118.5,3.0,27.5,2.0,18.5,0.0,0.0,3.0,33.0,2.0,19.5,0.0,0.5,0.0,2.0,0.0,0.0,0.0,0.5,0.0,0.0,236.5,109.5,16.0,10.5,17.0,24.5,2.0,12.0,31.5,29.0,28.5,30.0,4.5,2.0,16.5,27.0,13.0,20.0,29.0,29.0,20.5,17.0,9.0,8.5,22.0,17.0,21.0,1.0,21.0,19.0,20.0,11.5,19.5,18.5,18.0,19.5,16.7,24.3,20.2,2.5,21.5,17.33,26.0,16.33,12.33,18.5
2026,ATL,254.0,2.0,-0.5,49.5,14.0,0.0,3.5,19.0,1.5,0.5,4.5,70.5,5.5,46.0,2.5,61.0,0.0,0.0,3.0,25.0,3.0,32.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,253.5,83.0,8.0,10.5,32.0,23.0,24.0,23.5,11.0,17.5,15.0,31.0,22.0,17.0,2.0,11.0,8.5,2.0,29.0,29.0,20.5,23.0,1.5,1.0,22.0,17.0,21.0,26.0,21.0,19.0,20.0,11.5,1.5,1.0,15.0,30.0,17.5,19.7,24.2,21.67,11.33,9.83,26.0,18.33,1.33,1.0
2026,BAL,209.0,1.0,13.5,61.5,8.5,0.0,2.5,14.5,3.0,3.5,6.0,73.5,5.5,48.0,1.5,22.5,1.0,7.5,3.5,39.5,0.0,0.0,0.5,1.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,222.5,88.0,20.0,23.0,19.0,16.0,29.0,23.5,19.0,20.0,3.5,26.0,10.5,16.0,2.0,8.0,18.5,15.0,14.0,18.0,15.5,13.0,31.0,31.0,8.0,9.0,21.0,15.0,21.0,19.0,20.0,11.5,19.5,18.5,22.0,28.0,18.4,18.4,21.5,13.83,10.33,17.5,17.33,13.33,27.17,18.5
2026,BUF,300.5,3.0,11.0,56.0,24.5,3.5,4.5,40.0,1.0,5.5,8.0,108.5,2.5,32.5,2.0,39.5,1.0,16.5,5.0,43.5,2.0,14.5,0.0,2.0,0.0,1.5,0.0,0.0,0.0,0.5,0.0,0.0,311.5,126.0,3.0,3.0,23.0,19.0,16.5,8.0,4.5,3.5,21.0,20.5,2.5,4.0,23.5,21.5,13.0,7.0,14.0,9.5,8.5,12.0,9.0,12.0,22.0,1.5,21.0,3.0,21.0,19.0,20.0,11.5,19.5,18.5,4.0,11.0,11.0,7.9,18.0,3.17,22.0,13.0,14.5,10.67,13.5,18.5
2026,CAR,207.0,1.0,50.5,98.0,75.5,0.0,2.0,9.5,2.0,20.0,6.0,67.5,3.5,37.0,1.5,27.5,2.0,10.5,2.0,27.5,0.5,7.5,1.0,1.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,257.5,203.0,21.0,23.0,2.0,4.0,1.0,23.5,23.5,24.0,8.5,6.0,10.5,18.5,12.5,16.0,18.5,13.0,2.0,15.5,27.0,20.0,25.0,18.5,2.5,5.0,5.5,26.0,21.0,19.0,4.5,11.5,19.5,18.5,13.5,2.0,12.4,11.7,4.6,18.33,16.5,16.83,7.33,19.5,21.0,18.5
2026,CHI,252.0,1.5,20.0,77.0,25.0,0.0,1.5,19.0,1.0,30.0,5.5,96.5,3.5,48.0,0.5,1.0,0.0,0.0,3.0,27.0,2.0,30.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0,151.0,9.0,16.0,12.0,7.0,15.0,23.5,27.0,17.5,21.0,3.0,15.0,9.0,12.5,8.0,30.5,32.0,29.0,29.0,20.5,21.0,9.0,2.0,8.0,9.0,21.0,7.5,21.0,19.0,20.0,25.5,19.5,18.5,10.0,7.0,11.0,13.5,13.4,10.5,13.83,27.17,26.0,22.33,10.17,18.5
2026,CIN,284.5,0.0,29.5,27.5,11.5,6.0,4.5,31.0,3.0,15.0,4.0,50.0,3.0,36.5,2.0,33.5,1.5,18.5,7.5,83.0,1.0,17.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,314.0,85.0,5.0,32.0,5.0,31.5,26.5,5.5,4.5,6.0,3.5,9.5,25.0,24.0,16.5,17.5,13.0,9.0,7.0,8.0,1.0,1.0,17.5,10.0,8.0,17.0,21.0,26.0,21.0,19.0,20.0,25.5,19.5,3.0,3.0,29.0,10.6,17.6,17.9,25.0,18.33,13.67,11.67,9.17,15.67,3.0
2026,CLE,213.5,2.5,14.5,77.5,32.5,7.0,2.5,11.5,2.0,2.5,4.0,49.5,2.5,33.5,2.5,43.0,2.0,38.5,3.5,30.5,0.5,4.5,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.5,0.0,0.0,228.0,124.0,19.0,6.0,17.0,6.0,13.0,3.5,19.0,23.0,8.5,27.5,25.0,25.0,23.5,20.0,8.5,5.0,2.0,1.5,15.5,19.0,25.0,24.0,22.0,28.0,21.0,7.5,21.0,3.0,4.5,11.5,19.5,18.5,20.0,13.0,16.8,17.8,16.6,19.17,21.5,5.5,2.67,15.33,22.83,18.5
2026,DAL,218.5,2.5,63.0,62.0,48.5,0.0,0.5,2.5,5.0,31.0,5.5,58.0,2.0,37.5,3.0,24.0,1.5,12.0,4.5,46.0,1.0,7.5,0.0,0.5,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,281.5,144.0,18.0,6.0,1.0,15.0,4.5,23.5,31.5,30.5,1.0,2.0,15.0,21.5,30.0,15.0,4.5,14.0,7.0,13.5,11.0,10.0,17.5,18.5,22.0,17.0,5.5,7.5,21.0,19.0,20.0,3.0,19.5,18.5,6.5,8.0,10.7,20.4,4.2,14.67,22.0,12.5,13.5,8.0,18.5,18.5
2026,DEN,186.5,1.0,14.5,119.0,24.0,0.0,2.5,7.5,1.5,23.0,5.0,58.0,2.5,29.5,0.5,14.0,0.0,0.0,2.5,44.0,1.5,10.5,0.5,1.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,201.0,173.5,25.0,23.0,17.0,2.0,18.0,23.5,19.0,27.0,15.0,4.0,19.0,21.5,23.5,25.0,30.5,22.0,29.0,29.0,24.0,11.0,13.0,15.0,8.0,5.0,21.0,26.0,6.0,19.0,20.0,25.5,19.5,18.5,25.0,3.0,19.6,11.2,12.2,22.17,18.17,23.83,26.0,20.17,15.83,18.5
2026,DET,329.0,3.0,38.5,90.5,17.0,1.0,4.0,18.0,0.5,-1.0,6.5,110.0,3.5,34.5,4.5,52.5,0.5,21.5,5.5,64.0,2.5,29.5,1.0,0.5,0.5,0.0,0.5,0.0,0.5,1.0,1.0,0.0,367.5,124.5,2.0,3.0,3.0,5.0,23.0,14.0,8.0,19.0,28.5,32.0,7.0,3.0,12.5,19.0,1.0,3.0,21.5,6.0,5.0,5.0,4.5,3.5,2.5,17.0,5.5,26.0,6.0,19.0,4.5,3.0,1.5,18.5,2.0,12.0,2.5,12.2,20.2,12.0,12.5,7.67,10.67,4.33,3.17,18.5
2026,GB,199.0,2.0,12.5,44.0,23.5,7.0,2.5,31.5,1.0,4.5,7.0,77.5,2.5,28.5,3.0,17.0,0.0,0.0,3.0,26.5,2.0,13.5,0.0,0.5,1.0,1.0,0.5,0.0,0.0,0.5,0.0,0.0,211.5,103.5,23.0,10.5,20.0,26.0,19.0,3.5,19.0,5.0,21.0,23.5,4.5,12.5,23.5,26.0,4.5,21.0,29.0,29.0,20.5,22.0,9.0,13.0,22.0,17.0,1.0,7.5,6.0,19.0,20.0,11.5,19.5,18.5,23.0,22.0,19.7,17.8,17.3,8.17,18.5,14.83,26.0,18.0,13.83,18.5
