season,defense,QB PY avg,P TD avg,QB RY avg,RB1 RY avg,RB2+ RY avg,WR RY avg,RB1 Recep avg,RB1 RecY avg,RB2 Recep avg,RB2 RecY avg,WR1 Recep avg,WR1 RecY avg,WR2 Recep avg,WR2 RecY avg,WR3 Recep avg,WR3 RecY avg,WR4+ Recep avg,WR4+ RecY avg,TE1 Recep avg,TE1 RecY avg,TE2 Recep avg,TE2 RecY avg,QB TD avg,RB1 TD avg,RB2 TD avg,WR1 TD avg,WR2 TD avg,WR3 TD avg,WR4+ TD avg,TE1 TD avg,TE2 TD avg,D/ST TD avg,QB P+R avg,RB R+R avg,QB PY rank,P TD rank,QB RY rank,RB1 RY rank,RB2+ RY rank,WR RY rank,RB1 Recep rank,RB1 RecY rank,RB2 Recep rank,RB2 RecY rank,WR1 Recep rank,WR1 RecY rank,WR2 Recep rank,WR2 RecY rank,WR3 Recep rank,WR3 RecY rank,WR4+ Recep rank,WR4+ RecY rank,TE1 Recep rank,TE1 RecY rank,TE2 Recep rank,TE2 RecY rank,QB TD rank,RB1 TD rank,RB2 TD rank,WR1 TD rank,WR2 TD rank,WR3 TD rank,WR4+ TD rank,TE1 TD rank,TE2 TD rank,D/ST TD rank,QB P+R rank,RB R+R rank,QB *,RB1 *,RB2 *,WR1 *,WR2 *,WR3 *,WR4+ *,TE1 *,TE2 *,D/ST *
2024,ARI,231.18,1.18,17.82,68.94,36.71,2.82,3.41,25.0,1.24,13.0,5.65,63.0,3.47,45.47,1.71,19.47,1.59,22.94,2.88,25.47,1.82,16.82,0.35,0.59,0.35,0.41,0.18,0.18,0.06,0.06,0.06,0.06,249.0,143.65,20.0,28.0,20.0,11.0,10.0,24.0,1.5,3.0,25.0,14.0,5.5,20.0,15.5,12.0,26.0,25.0,4.0,2.0,27.5,32.0,8.5,8.0,4.5,18.0,9.0,16.5,28.0,14.5,19.5,31.5,23.5,22.0,20.0,5.0,18.5,7.7,12.6,14.0,18.5,21.83,8.5,30.33,13.33,22.0
2024,ATL,232.18,2.0,29.12,62.24,22.76,4.29,3.41,22.0,2.24,12.47,6.0,75.0,4.24,41.59,1.59,16.94,1.76,18.82,3.53,37.18,1.0,11.53,0.18,0.53,0.18,0.47,0.53,0.12,0.18,0.24,0.24,0.12,261.29,119.47,19.0,2.0,3.0,19.5,26.0,13.0,1.5,10.0,6.0,17.0,3.0,5.0,3.0,21.0,27.5,30.0,2.0,6.0,20.0,17.0,27.0,20.0,17.5,20.5,24.0,10.5,2.5,23.0,5.0,12.5,4.0,14.0,10.5,22.0,10.4,14.7,19.0,6.17,8.83,26.83,4.33,16.5,17.0,14.0
2024,BAL,262.71,1.53,13.71,39.47,24.35,2.47,2.71,23.76,2.0,15.88,6.59,95.59,3.18,34.35,1.88,23.47,1.35,12.88,4.06,46.59,1.41,10.06,0.24,0.29,0.41,0.53,0.35,0.12,0.06,0.18,0.12,0.0,276.41,103.47,2.0,14.0,27.0,31.0,22.0,25.0,13.0,4.0,10.5,9.0,1.0,1.0,26.5,29.0,22.5,18.5,12.5,21.0,10.0,5.0,15.0,23.0,11.0,29.5,4.0,7.0,12.0,23.0,19.5,20.0,14.0,28.5,5.0,30.5,11.8,21.6,15.2,3.0,22.5,21.33,17.67,11.67,17.33,28.5
2024,BUF,241.18,1.65,15.47,71.76,24.18,4.06,3.12,25.12,2.29,19.0,5.18,67.24,4.35,55.76,1.88,15.88,1.06,10.12,3.59,32.82,1.82,15.24,0.12,0.71,0.24,0.35,0.47,0.12,0.12,0.18,0.12,0.12,256.65,140.06,10.0,8.5,25.0,8.0,23.0,15.0,3.5,2.0,5.0,5.0,13.0,14.0,2.0,3.0,22.5,31.0,22.5,26.0,18.0,20.0,8.5,10.0,23.5,9.0,18.5,25.0,5.0,23.0,10.5,20.0,14.0,14.0,16.0,7.0,16.6,5.9,11.7,17.33,3.33,25.5,19.67,19.33,10.83,14.0
2024,CAR,236.0,2.06,23.18,101.94,46.94,4.59,2.47,21.24,1.88,14.41,5.53,78.53,3.41,34.71,2.24,26.65,0.76,8.18,2.88,31.47,2.0,22.65,0.29,0.71,0.53,0.76,0.35,0.06,0.06,0.24,0.47,0.12,259.18,184.53,14.0,1.0,12.0,1.0,1.0,12.0,21.0,11.0,12.5,12.0,8.5,2.0,17.5,28.0,11.5,13.0,28.5,29.0,27.5,24.0,4.5,1.0,7.5,9.0,2.0,1.5,12.0,30.0,19.5,12.5,1.0,14.0,12.0,1.0,9.3,8.6,5.7,4.0,19.17,18.17,25.67,21.33,2.17,14.0
2024,CHI,232.88,1.0,12.82,76.24,43.59,3.53,2.41,19.41,1.71,12.76,4.18,56.12,3.35,53.06,1.06,8.41,1.53,23.65,3.35,41.41,1.53,18.06,0.06,0.71,0.35,0.35,0.18,0.24,0.0,0.29,0.0,0.0,245.71,152.0,17.5,32.0,30.0,6.0,3.0,21.0,24.0,14.0,15.5,15.0,32.0,26.0,19.5,6.0,32.0,32.0,6.0,1.0,21.0,11.0,12.5,6.0,28.5,9.0,9.0,25.0,28.0,8.0,29.0,7.5,31.0,28.5,22.0,2.0,26.0,11.0,8.9,27.67,17.83,24.0,12.0,13.17,16.5,28.5
2024,CIN,236.24,1.76,30.94,67.12,22.82,3.76,2.41,14.18,2.0,17.0,4.47,64.0,2.76,33.47,2.18,20.41,1.53,21.65,4.59,45.47,1.94,20.06,0.24,0.71,0.29,0.41,0.24,0.06,0.41,0.47,0.12,0.18,267.18,121.12,13.0,4.0,2.0,15.0,25.0,17.0,24.0,31.0,10.5,7.0,30.0,18.0,31.5,31.0,14.5,24.0,6.0,3.0,3.0,7.0,6.0,4.0,11.0,9.0,14.0,16.5,22.5,30.0,1.0,1.0,14.0,6.0,8.0,19.0,7.6,19.6,15.1,21.5,28.33,22.83,3.33,3.67,8.0,6.0
2024,CLE,227.06,1.53,25.71,52.82,34.29,8.06,1.88,12.82,1.29,12.0,4.71,67.18,3.65,54.29,1.41,19.24,0.76,13.59,2.59,27.18,2.29,21.82,0.06,0.71,0.18,0.41,0.53,0.24,0.18,0.24,0.29,0.29,252.76,111.94,23.0,14.0,5.0,27.0,11.0,2.0,32.0,32.0,23.0,19.0,28.0,15.0,12.5,4.0,30.5,26.0,28.5,17.5,31.5,30.0,2.0,2.0,28.5,9.0,24.0,16.5,2.5,8.0,5.0,12.5,2.5,3.0,17.0,26.0,17.5,25.2,20.6,19.83,6.33,21.5,17.0,24.67,2.17,3.0
2024,DAL,237.94,1.65,32.53,65.59,29.06,8.88,2.47,25.59,1.59,12.53,5.0,58.71,3.88,53.29,2.29,27.59,1.47,18.53,2.94,32.29,0.88,9.41,0.59,0.88,0.12,0.47,0.35,0.12,0.18,0.35,0.06,0.12,270.47,132.76,12.0,8.5,1.0,17.0,18.0,1.0,21.0,1.0,18.5,16.0,18.5,24.0,6.0,5.0,9.0,11.0,9.5,7.0,25.5,22.0,29.0,27.5,1.0,4.5,29.0,10.5,12.0,23.0,5.0,5.0,23.5,14.0,7.0,14.0,5.9,11.5,19.1,17.67,7.67,14.33,7.17,17.5,26.67,14.0
2024,DEN,239.88,1.29,17.35,53.24,24.94,1.12,2.82,18.35,2.12,19.35,5.24,70.65,3.65,40.06,2.53,32.94,1.12,13.59,4.24,35.06,1.35,11.94,0.18,0.41,0.35,0.29,0.18,0.12,0.06,0.24,0.06,0.0,257.24,115.88,11.0,26.0,21.0,26.0,20.0,30.0,10.0,18.0,8.0,3.0,12.0,10.5,12.5,23.0,4.5,5.0,19.5,17.5,8.0,18.0,18.5,19.0,17.5,26.0,9.0,30.5,28.0,23.0,19.5,12.5,23.5,28.5,15.0,24.0,18.1,20.8,12.8,17.67,21.17,10.83,18.83,12.83,20.33,28.5
