defense,season,week,opponent,QB PY,P TD,QB RY,RB1 RY,RB2+ RY,WR RY,RB1 Recep,RB1 RecY,RB2 Recep,RB2 RecY,WR1 Recep,WR1 RecY,WR2 Recep,WR2 RecY,WR3 Recep,WR3 RecY,WR4+ Recep,WR4+ RecY,TE1 Recep,TE1 RecY,TE2 Recep,TE2 RecY,QB TD,RB1 TD,RB2 TD,WR1 TD,WR2 TD,WR3 TD,WR4+ TD,TE1 TD,TE2 TD,D/ST TD,QB P+R,RB R+R
ARI,2024,1,BUF,232,2,39,71,20,0,3,32,1,14,4,51,3,42,2,25,3,34,1,23,1,11,2,0,0,0,1,1,0,0,0,0,271,137
ARI,2024,2,LAR,216,0,0,25,28,0,4,27,1,0,4,37,2,50,2,20,5,70,1,12,0,0,0,1,0,0,0,0,0,0,0,0,216,80
ARI,2024,3,DET,199,2,6,105,83,-7,3,17,0,20,7,75,1,9,1,8,0,0,2,36,4,34,0,1,1,1,0,0,0,0,0,0,205,225
ARI,2024,4,WAS,233,1,47,101,68,0,3,12,1,6,7,52,6,85,3,26,2,21,3,22,1,9,1,1,2,1,0,0,0,0,0,0,280,187
ARI,2024,5,SF,244,1,33,89,22,9,1,9,0,0,8,147,1,13,1,11,0,0,8,64,0,0,0,0,0,0,0,0,0,1,0,0,277,120
ARI,2024,6,GB,258,4,13,62,75,27,3,28,1,19,6,28,1,9,3,49,4,74,2,13,2,38,0,0,0,1,0,2,1,0,0,0,271,184
ARI,2024,7,LAC,349,0,8,40,12,-1,3,26,1,9,5,46,4,63,3,45,1,41,8,81,2,38,0,0,0,0,0,0,0,0,0,0,357,87
ARI,2024,8,MIA,234,1,13,97,40,0,6,50,4,30,6,72,4,45,1,6,0,0,4,20,3,11,0,1,2,0,0,0,0,0,0,0,247,217
ARI,2024,9,CHI,217,0,5,51,13,0,6,31,2,8,4,33,5,104,4,36,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,222,103
ARI,2024,10,NYJ,151,0,0,52,27,0,4,31,2,17,5,41,6,31,0,0,1,2,1,8,3,21,0,0,0,0,0,0,0,0,0,0,151,127
ARI,2024,12,SEA,254,1,2,41,22,0,4,52,0,0,6,77,4,59,2,20,1,8,3,19,2,19,0,0,0,1,0,0,0,0,0,1,256,115
ARI,2024,13,MIN,235,2,22,22,24,0,3,6,0,0,7,99,4,54,1,18,1,8,3,28,2,22,0,1,0,0,0,0,0,0,1,0,257,52
ARI,2024,14,SEA,233,1,0,134,38,4,7,59,3,6,5,82,4,49,0,0,0,0,3,18,2,19,0,2,0,1,0,0,0,0,0,0,233,237
ARI,2024,15,NE,202,1,14,69,33,0,1,16,2,31,3,11,2,19,0,0,4,62,4,25,3,38,1,0,0,1,0,0,0,0,0,0,216,149
ARI,2024,16,CAR,158,2,68,152,14,9,4,13,0,0,2,39,5,43,2,8,1,23,3,32,0,0,1,2,0,1,1,0,0,0,0,0,226,179
ARI,2024,17,LAR,189,0,16,56,-4,0,3,16,0,0,10,129,1,29,0,0,1,6,0,0,2,9,0,1,0,0,0,0,0,0,0,0,205,68
ARI,2024,18,SF,326,2,17,5,109,7,0,0,3,61,7,52,6,69,4,59,3,41,2,27,4,17,1,0,1,0,1,0,0,0,0,0,343,175
ATL,2024,1,PIT,156,0,57,70,20,-10,1,9,2,13,6,85,1,7,1,1,0,0,4,27,2,14,0,0,0,0,0,0,0,0,0,0,213,112
ATL,2024,2,PHI,183,1,85,95,6,0,4,21,0,0,7,76,6,23,1,6,0,0,3,38,2,19,1,0,0,1,0,0,0,0,0,0,268,122
ATL,2024,3,KC,217,2,17,72,25,14,1,2,3,15,12,110,2,17,1,13,2,17,4,30,1,13,0,0,0,1,0,0,1,0,0,0,234,114
ATL,2024,4,NO,239,0,5,77,11,14,7,42,2,8,8,83,8,87,1,6,0,0,2,13,0,0,0,1,0,0,0,0,0,0,2,0,244,138
ATL,2024,5,TB,180,3,42,72,44,2,3,-6,2,12,5,64,5,62,1,4,0,0,3,44,0,0,0,0,0,0,2,1,0,0,0,0,222,122
ATL,2024,6,CAR,221,2,21,92,1,0,5,11,1,12,6,78,3,23,1,1,5,47,5,49,0,0,0,0,0,1,1,0,0,0,0,0,242,116
ATL,2024,7,SEA,207,2,15,69,19,0,2,24,1,-5,4,99,3,9,4,45,0,0,4,65,1,5,0,2,0,1,0,0,0,0,0,1,222,107
ATL,2024,8,TB,330,3,11,44,30,17,7,40,6,50,4,35,3,18,2,29,6,77,9,81,0,0,0,0,1,0,0,0,0,2,0,0,341,164
ATL,2024,9,DAL,248,2,34,75,13,15,5,32,2,4,8,47,3,19,3,36,3,39,7,71,0,0,0,1,0,0,1,0,0,0,0,0,282,124
ATL,2024,10,NO,269,2,17,55,10,0,5,54,1,4,3,109,2,36,1,8,0,0,2,22,2,36,0,0,0,2,0,0,0,0,0,0,286,123
ATL,2024,11,DEN,307,4,5,59,37,4,4,28,4,7,7,78,4,52,4,66,4,64,0,0,1,12,0,1,0,0,1,0,2,0,1,0,312,131
ATL,2024,13,LAC,147,0,1,32,20,3,1,1,0,0,9,117,2,12,1,11,2,5,0,0,2,4,0,0,0,0,0,0,0,0,0,1,148,53
ATL,2024,14,MIN,347,5,5,73,37,0,2,11,0,0,7,132,8,133,0,0,0,0,4,45,1,26,0,1,0,2,3,0,0,0,0,0,352,121
ATL,2024,15,LV,208,1,28,21,16,0,2,3,9,75,5,59,2,18,1,7,0,0,3,35,1,11,0,0,1,0,0,0,0,0,0,0,236,115
ATL,2024,16,NYG,210,1,1,26,12,6,4,43,1,2,7,68,7,62,1,21,1,9,1,5,0,0,0,1,0,0,0,0,0,0,0,0,211,83
ATL,2024,17,WAS,227,3,127,60,21,8,2,9,3,17,1,5,8,85,3,25,0,0,6,72,1,14,0,0,1,0,1,0,0,2,0,0,354,107
