week,date,vis,home,boxscore
1,2026-09-09,NE,SEA,202609090sea
1,2026-09-10,SF,LAR,202609100ram
1,2026-09-13,CHI,CAR,202609130car
1,2026-09-13,TB,CIN,202609130cin
1,2026-09-13,BAL,IND,202609130clt
1,2026-09-13,NO,DET,202609130det
1,2026-09-13,BUF,HOU,202609130htx
1,2026-09-13,CLE,JAX,202609130jax
1,2026-09-13,NYJ,TEN,202609130oti
1,2026-09-13,ATL,PIT,202609130pit
1,2026-09-13,GB,MIN,202609130min
1,2026-09-13,WAS,PHI,202609130phi
1,2026-09-13,MIA,LV,202609130rai
1,2026-09-13,ARI,LAC,202609130sdg
1,2026-09-13,DAL,NYG,202609130nyg
1,2026-09-14,DEN,KC,202609140kan
2,2026-09-17,DET,BUF,202609170buf
2,2026-09-20,CAR,ATL,202609200atl
2,2026-09-20,MIN,CHI,202609200chi
2,2026-09-20,CIN,HOU,202609200htx
2,2026-09-20,PIT,NE,202609200nwe
2,2026-09-20,GB,NYJ,202609200nyj
2,2026-09-20,PHI,TEN,202609200oti
2,2026-09-20,NO,BAL,202609200rav
2,2026-09-20,CLE,TB,202609200tam
2,2026-09-20,JAX,DEN,202609200den
2,2026-09-20,LV,LAC,202609200sdg
2,2026-09-20,SEA,ARI,202609200crd
2,2026-09-20,WAS,DAL,202609200dal
2,2026-09-20,MIA,SF,202609200sfo
2,2026-09-20,IND,KC,202609200kan
2,2026-09-21,NYG,LAR,202609210ram
3,2026-09-24,ATL,GB,202609240gnb
3,2026-09-27,LAC,BUF,202609270buf
3,2026-09-27,CAR,CLE,202609270cle
3,2026-09-27,HOU,IND,202609270clt
3,2026-09-27,NYJ,DET,202609270det
3,2026-09-27,NE,JAX,202609270jax
3,2026-09-27,KC,MIA,202609270mia
3,2026-09-27,TEN,NYG,202609270nyg
3,2026-09-27,CIN,PIT,202609270pit
3,2026-09-27,SEA,WAS,202609270was
3,2026-09-27,ARI,SF,202609270sfo
3,2026-09-27,MIN,TB,202609270tam
3,2026-09-27,BAL,DAL,202609270dal
3,2026-09-27,LV,NO,202609270nor
3,2026-09-27,LAR,DEN,202609270den
3,2026-09-28,PHI,CHI,202609280chi
4,2026-10-01,PIT,CLE,202610010cle
4,2026-10-04,IND,WAS,202610040was
4,2026-10-04,NE,BUF,202610040buf
4,2026-10-04,NYJ,CHI,202610040chi
4,2026-10-04,JAX,CIN,202610040cin
4,2026-10-04,DAL,HOU,202610040htx
4,2026-10-04,ARI,NYG,202610040nyg
4,2026-10-04,LAR,PHI,202610040phi
4,2026-10-04,TEN,BAL,202610040rav
4,2026-10-04,GB,TB,202610040tam
4,2026-10-04,MIA,MIN,202610040min
4,2026-10-04,KC,LV,202610040rai
4,2026-10-04,LAC,SEA,202610040sea
4,2026-10-04,DEN,SF,202610040sfo
4,2026-10-04,DET,CAR,202610040car
4,2026-10-05,ATL,NO,202610050nor
5,2026-10-08,TB,DAL,202610080dal
5,2026-10-11,PHI,JAX,202610110jax
5,2026-10-11,CIN,MIA,202610110mia
5,2026-10-11,MIN,NO,202610110nor
5,2026-10-11,LV,NE,202610110nwe
5,2026-10-11,CLE,NYJ,202610110nyj
5,2026-10-11,HOU,TEN,202610110oti
5,2026-10-11,IND,PIT,202610110pit
5,2026-10-11,NYG,WAS,202610110was
5,2026-10-11,DEN,LAC,202610110sdg
5,2026-10-11,DET,ARI,202610110crd
5,2026-10-11,CHI,GB,202610110gnb
5,2026-10-11,SF,SEA,202610110sea
5,2026-10-11,BAL,ATL,202610110atl
5,2026-10-12,BUF,LAR,202610120ram
6,2026-10-15,SEA,DEN,202610150den
