player,mk_name,team,pos,slot,slot_group,injury,owner,week,opponent,composite,stat_ranks
Derrick Henry,D. Henry,BAL,RB,RB1,RB1,1,Are You Winning Son?,3,@DAL,7.9,RB1 RY=18;RB1 Recep=6;RB1 RecY=1;RB R+R=8;RB1 TD=6.5
Terry McLaurin,T. McLaurin,WAS,WR,WR1,WR1,1,Are You Winning Son?,3,SEA,19.33,WR1 Recep=13;WR1 RecY=27;WR1 TD=18
Garrett Wilson,G. Wilson,NYJ,WR,WR1,WR1,1,Are You Winning Son?,3,@DET,8.0,WR1 Recep=6;WR1 RecY=9.5;WR1 TD=8.5
DK Metcalf,D.K. Metcalf,PIT,WR,WR1,WR1,1,Are You Winning Son?,3,CIN,25.33,WR1 Recep=32;WR1 RecY=23;WR1 TD=21
Patrick Mahomes,P. Mahomes,KC,QB,QB1,QB,1,Are You Winning Son?,3,@MIA,19.7,QB PY=14;QB RY=25;QB P+R=18;P TD=16.5;QB TD=25
Evan Engram,E. Engram,DEN,TE,TE1,TE1,1,Are You Winning Son?,3,LAR,5.5,TE1 Recep=1;TE1 RecY=5;TE1 TD=10.5
Chris Rodriguez Jr.,T. Etienne Jr.,JAX,RB,RB2,RB2,1,Are You Winning Son?,3,NE,24.5,RB2+ RY=17;RB2 Recep=26;RB2 RecY=31;RB R+R=20;RB2 TD=28.5
Khalil Shakir,K. Shakir,BUF,WR,WR2,WR2,1,Are You Winning Son?,3,LAC,30.0,WR2 Recep=29;WR2 RecY=30;WR2 TD=31
J. Mixon,J. Mixon,HOU,RB,,,,Are You Winning Son?,3,@IND,,
Q. Judklins,Q. Judklins,CLE,RB,,,,Are You Winning Son?,3,CAR,,
Eagles,Eagles,PHI,D/ST,,,,Are You Winning Son?,3,@CHI,,
Jordan Love,J. Love,GB,QB,QB1,QB,1,Are You Winning Son?,3,ATL,10.3,QB PY=15;QB RY=3;QB P+R=12;P TD=2;QB TD=19.5
W. Lutz,W. Lutz,DEN,K,,,,Are You Winning Son?,3,LAR,,
Brenton Strange,B. Strange,JAX,TE,TE1,TE1,1,Are You Winning Son?,3,NE,20.83,TE1 Recep=18;TE1 RecY=17;TE1 TD=27.5
A. Thielen,A. Thielen,CAR,WR,,,,Are You Winning Son?,3,@CLE,,
Bijan Robinson,B. Robinson,ATL,RB,RB1,RB1,1,Are You Winning Son?,3,@GB,18.0,RB1 RY=12;RB1 Recep=19.5;RB1 RecY=24;RB R+R=18;RB1 TD=16.5
Jonathan Taylor,J. Taylor,IND,RB,RB1,RB1,1,Blitz,3,HOU,23.5,RB1 RY=21;RB1 Recep=23;RB1 RecY=21;RB R+R=29;RB1 TD=23.5
Brock Bowers,B. Bowers,LV,TE,TE1,TE1,0,Blitz,3,@NO,16.33,TE1 Recep=14;TE1 RecY=11;TE1 TD=24
Chuba Hubbard,C. Hubbard,CAR,RB,RB1,RB1,1,Blitz,3,@CLE,21.2,RB1 RY=19;RB1 Recep=28;RB1 RecY=30;RB R+R=25;RB1 TD=4
Davante Adams,D. Adams,LAR,WR,WR2,WR2,1,Blitz,3,@DEN,18.0,WR2 Recep=8;WR2 RecY=14;WR2 TD=32
I. Pacheco,I. Pacheco,KC,RB,,,,Blitz,3,@MIA,,
Dak Prescott,D. Prescott,DAL,QB,QB1,QB,1,Blitz,3,BAL,11.4,QB PY=1;QB RY=24;QB P+R=3;P TD=20.5;QB TD=8.5
S. Diggs,S. Diggs,NE,WR,,,,Blitz,3,@JAX,,
J. Jennings,J. Jennings,SF,WR,,,,Blitz,3,ARI,,
J. Fields,J. Fields,NYJ,QB,,,,Blitz,3,@DET,,
Bhayshul Tuten,B. Tuten,JAX,RB,RB1,RB1,1,Blitz,3,NE,14.3,RB1 RY=14;RB1 Recep=15;RB1 RecY=16;RB R+R=20;RB1 TD=6.5
Hunter Henry,H. Henry,NE,TE,TE1,TE1,1,Blitz,3,@JAX,8.67,TE1 Recep=11;TE1 RecY=9;TE1 TD=6
R. Shaheed,R. Shaheed,NO,WR,,,,Blitz,3,LV,,
Dylan Sampson,D. Sampson,CLE,RB,RB4,RB2,-1,Blitz,3,CAR,6.1,RB2+ RY=2;RB2 Recep=12;RB2 RecY=13.5;RB R+R=1;RB2 TD=2
Vikings,Vikings,MIN,D/ST,,,,Blitz,3,@TB,,
C. McLaughlin,C. McLaughlin,TB,K,,,,Blitz,3,MIN,,
Malik Nabers,M. Nabers,NYG,WR,WR1,WR1,0,Blitz,3,TEN,9.17,WR1 Recep=11.5;WR1 RecY=13;WR1 TD=3
Justin Jefferson,J. Jefferson,MIN,WR,WR1,WR1,1,Built Ford Tough,3,@TB,24.67,WR1 Recep=18;WR1 RecY=25;WR1 TD=31
Jayden Daniels,J. Daniels,WAS,QB,QB1,QB,-1,Built Ford Tough,3,SEA,22.5,QB PY=21;QB RY=23;QB P+R=23;P TD=26;QB TD=19.5
M. Evans,M. Evans,TB,WR,,,,Built Ford Tough,3,MIN,,
RJ Harvey,R.J. Harvey,DEN,RB,RB2,RB2,0,Built Ford Tough,3,LAR,21.1,RB2+ RY=29;RB2 Recep=24.5;RB2 RecY=19;RB R+R=13;RB2 TD=20
K. Johnson,K. Johnson,PIT,RB,,,,Built Ford Tough,3,CIN,,
Tyrone Tracy Jr.,T. Tracy Jr.,NYG,RB,RB4,RB2,1,Built Ford Tough,3,TEN,16.0,RB2+ RY=5;RB2 Recep=27;RB2 RecY=26;RB R+R=21;RB2 TD=1
Jacory Croskey-Merritt,J. Croskey-Merritt,WAS,RB,RB1,RB1,1,Built Ford Tough,3,SEA,19.8,RB1 RY=27;RB1 Recep=10;RB1 RecY=11;RB R+R=19;RB1 TD=32
Tyler Warren,T. Warren,IND,TE,TE1,TE1,1,Built Ford Tough,3,HOU,21.17,TE1 Recep=29.5;TE1 RecY=29;TE1 TD=5
Keon Coleman,K. Coleman,BUF,WR,WR3,WR3,1,Built Ford Tough,3,LAC,15.17,WR3 Recep=27;WR3 RecY=14;WR3 TD=4.5
Cam Skattebo,C. Skattebo,NYG,RB,RB1,RB1,1,Built Ford Tough,3,TEN,23.8,RB1 RY=24;RB1 Recep=32;RB1 RecY=31;RB R+R=21;RB1 TD=11
Rashod Bateman,R. Bateman,BAL,WR,WR2,WR2,1,Built Ford Tough,3,@DAL,5.83,WR2 Recep=2;WR2 RecY=2;WR2 TD=13.5
J.J. McCarthy,J.J. McCarthy,MIN,QB,QB3,QB,1,Built Ford Tough,3,@TB,4.4,QB PY=2;QB RY=12;QB P+R=2;P TD=4;QB TD=2
J. Blue,J. Blue,DAL,RB,,,,Built Ford Tough,3,BAL,,
Rams,Rams,LAR,D/ST,,,,Built Ford Tough,3,@DEN,,
E. McPherson,E. McPherson,CIN,K,,,,Built Ford Tough,3,@PIT,,
Brian Thomas Jr.,B. Thomas Jr.,JAX,WR,WR2,WR2,1,Built Ford Tough,3,NE,24.17,WR2 Recep=25.5;WR2 RecY=27;WR2 TD=20
Hollywood Brown,A.J. Brown,PHI,WR,WR4+,WR4+,1,Django Achaned,3,@CHI,12.5,WR4+ Recep=11.5;WR4+ RecY=1;WR4+ TD=25
Jaxon Smith-Njigba,J. Smith-Njigba,SEA,WR,WR1,WR1,1,Django Achaned,3,@WAS,16.67,WR1 Recep=15;WR1 RecY=11;WR1 TD=24
K. Walker III,K. Walker III,SEA,RB,,,,Django Achaned,3,@WAS,,
George Pickens,G. Pickens,DAL,WR,WR2,WR2,1,Django Achaned,3,BAL,18.5,WR2 Recep=21;WR2 RecY=21;WR2 TD=13.5
Brock Purdy,B. Purdy,SF,QB,QB1,QB,1,Django Achaned,3,ARI,16.4,QB PY=10;QB RY=31;QB P+R=13;P TD=16.5;QB TD=11.5
J. Meyers,J. Meyers,LV,WR,,,,Django Achaned,3,@NO,,
Z. Ertz,Z. Ertz,WAS,TE,,,,Django Achaned,3,SEA,,
M. Pittman Jr.,M. Pittman Jr.,IND,WR,,,,Django Achaned,3,HOU,,
B. Robinson Jr.,B. Robinson Jr.,SF,RB,,,,Django Achaned,3,ARI,,
D. Mooney,D. Mooney,ATL,WR,,,,Django Achaned,3,@GB,,
Cam Ward,C. Ward,TEN,QB,QB1,QB,1,Django Achaned,3,@NYG,11.8,QB PY=13;QB RY=4;QB P+R=11;P TD=22.5;QB TD=8.5
H. Brown,H. Brown,KC,WR,,,,Django Achaned,3,@MIA,,
