# Kickoff times (ET) from PFR per-week pages, fetched 2026-09-13 — fills weeks 14-18 missing from pfr_games_2026.md
# week | day | date | time | visitor @ home
14 | Thursday | December 10 | 8:15pm | Minnesota Vikings @ New England Patriots
14 | Sunday | December 13 | 1:00pm | New Orleans Saints @ Carolina Panthers
14 | Sunday | December 13 | 1:00pm | Atlanta Falcons @ Cleveland Browns
14 | Sunday | December 13 | 1:00pm | Tennessee Titans @ Detroit Lions
14 | Sunday | December 13 | 1:00pm | Chicago Bears @ Miami Dolphins
14 | Sunday | December 13 | 1:00pm | Denver Broncos @ New York Jets
14 | Sunday | December 13 | 1:00pm | Indianapolis Colts @ Philadelphia Eagles
14 | Sunday | December 13 | 1:00pm | Tampa Bay Buccaneers @ Baltimore Ravens
14 | Sunday | December 13 | 1:00pm | Houston Texans @ Washington Commanders
14 | Sunday | December 13 | 4:05pm | Los Angeles Chargers @ Las Vegas Raiders
14 | Sunday | December 13 | 4:25pm | Kansas City Chiefs @ Cincinnati Bengals
14 | Sunday | December 13 | 4:25pm | New York Giants @ Seattle Seahawks
14 | Sunday | December 13 | 4:25pm | Los Angeles Rams @ San Francisco 49ers
14 | Sunday | December 13 | 8:20pm | Buffalo Bills @ Green Bay Packers
14 | Monday | December 14 | 8:15pm | Pittsburgh Steelers @ Jacksonville Jaguars
15 | Thursday | December 17 | 8:15pm | San Francisco 49ers @ Los Angeles Chargers
15 | Saturday | December 19 | 5:00pm | Seattle Seahawks @ Philadelphia Eagles
15 | Saturday | December 19 | 8:20pm | Chicago Bears @ Buffalo Bills
15 | Sunday | December 20 | 1:00pm | Cincinnati Bengals @ Carolina Panthers
15 | Sunday | December 20 | 1:00pm | Miami Dolphins @ Green Bay Packers
15 | Sunday | December 20 | 1:00pm | Jacksonville Jaguars @ Houston Texans
15 | Sunday | December 20 | 1:00pm | Cleveland Browns @ New York Giants
15 | Sunday | December 20 | 1:00pm | Indianapolis Colts @ Tennessee Titans
15 | Sunday | December 20 | 1:00pm | Baltimore Ravens @ Pittsburgh Steelers
15 | Sunday | December 20 | 1:00pm | New Orleans Saints @ Tampa Bay Buccaneers
15 | Sunday | December 20 | 1:00pm | Atlanta Falcons @ Washington Commanders
15 | Sunday | December 20 | 4:05pm | New York Jets @ Arizona Cardinals
15 | Sunday | December 20 | 4:25pm | Denver Broncos @ Las Vegas Raiders
15 | Sunday | December 20 | 4:25pm | Dallas Cowboys @ Los Angeles Rams
